"L_Gene"	"L_ident"	"L_celltype"	"L_cluster"	"L_MeanUMI"	"R_Gene"	"R_ident"	"R_celltype"	"R_cluster"	"R_MeanUMI"	"Str"
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_1_Lrp1"	"epi_R_1"	"Endocrine"	1	0.318558839100346	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_2_Lrp1"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.282781736139456	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_4_Lrp1"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.339468911111111	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_5_Lrp1"	"epi_R_5"	"Goblet"	5	0.362645933333333	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_7_Lrp1"	"epi_R_7"	"Tuft"	7	0.234390125617978	0.0122768513012814
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_0_Ncstn"	"epi_R_0"	"Stem"	0	0.363269916972477	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_1_Ncstn"	"epi_R_1"	"Endocrine"	1	0.318650803633218	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_2_Ncstn"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.298196257823129	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_3_Ncstn"	"epi_R_3"	"TA.Early"	3	0.262631768777293	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_4_Ncstn"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.291292386419753	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_5_Ncstn"	"epi_R_5"	"Goblet"	5	0.254603425064599	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_6_Ncstn"	"epi_R_6"	"Enterocyte.2"	6	0.266766388544404	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_7_Ncstn"	"epi_R_7"	"Tuft"	7	0.29127546752809	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_8_Ncstn"	"epi_R_8"	"M.cell"	8	0.3155289484375	0.00274043734240656
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_0_Ncstn"	"epi_R_0"	"Stem"	0	0.363269916972477	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_1_Ncstn"	"epi_R_1"	"Endocrine"	1	0.318650803633218	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_2_Ncstn"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.298196257823129	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_3_Ncstn"	"epi_R_3"	"TA.Early"	3	0.262631768777293	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_4_Ncstn"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.291292386419753	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_5_Ncstn"	"epi_R_5"	"Goblet"	5	0.254603425064599	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_6_Ncstn"	"epi_R_6"	"Enterocyte.2"	6	0.266766388544404	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_7_Ncstn"	"epi_R_7"	"Tuft"	7	0.29127546752809	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_8_Ncstn"	"epi_R_8"	"M.cell"	8	0.3155289484375	0.0122768513012814
"pp_L_3_Areg"	"pp_L_3"	"ILC2"	3	0.802932357777778	"epi_R_1_Erbb3"	"epi_R_1"	"Endocrine"	1	0.425895941695502	0.0247727112647309
"pp_L_3_Areg"	"pp_L_3"	"ILC2"	3	0.802932357777778	"epi_R_2_Erbb3"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.330291509013605	0.0247727112647309
"pp_L_3_Areg"	"pp_L_3"	"ILC2"	3	0.802932357777778	"epi_R_4_Erbb3"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.307278367283951	0.0247727112647309
"pp_L_3_Areg"	"pp_L_3"	"ILC2"	3	0.802932357777778	"epi_R_5_Erbb3"	"epi_R_5"	"Goblet"	5	0.505346286563307	0.0247727112647309
"pp_L_3_Areg"	"pp_L_3"	"ILC2"	3	0.802932357777778	"epi_R_6_Erbb3"	"epi_R_6"	"Enterocyte.2"	6	0.258953786468734	0.0247727112647309
"pp_L_3_Areg"	"pp_L_3"	"ILC2"	3	0.802932357777778	"epi_R_7_Erbb3"	"epi_R_7"	"Tuft"	7	0.278186156404494	0.0247727112647309
"pp_L_3_Areg"	"pp_L_3"	"ILC2"	3	0.802932357777778	"epi_R_8_Erbb3"	"epi_R_8"	"M.cell"	8	0.202633219010417	0.0247727112647309
"pp_L_0_Arf1"	"pp_L_0"	"DCs"	0	1.26492139618736	"epi_R_8_Pld2"	"epi_R_8"	"M.cell"	8	0.22098798671875	0.0614812513201553
"pp_L_1_Arf1"	"pp_L_1"	"MPs"	1	1.19729701520737	"epi_R_8_Pld2"	"epi_R_8"	"M.cell"	8	0.22098798671875	0.0550832327289544
"pp_L_2_Arf1"	"pp_L_2"	"ILC13"	2	1.09530953159174	"epi_R_8_Pld2"	"epi_R_8"	"M.cell"	8	0.22098798671875	0.046098771783497
"pp_L_3_Arf1"	"pp_L_3"	"ILC2"	3	0.804305513333333	"epi_R_8_Pld2"	"epi_R_8"	"M.cell"	8	0.22098798671875	0.02485751510434
"pp_L_4_Arf1"	"pp_L_4"	"pDCs"	4	1.16655636222222	"epi_R_8_Pld2"	"epi_R_8"	"M.cell"	8	0.22098798671875	0.0522910152326381
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_2_Atrn"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.257493145068027	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_4_Atrn"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.473924304938272	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_5_Atrn"	"epi_R_5"	"Goblet"	5	0.44294839121447	0.00136586874673832
"pp_L_0_Ptma"	"pp_L_0"	"DCs"	0	3.26632490827887	"epi_R_2_Atrn"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.257493145068027	0.409953299395641
"pp_L_0_Ptma"	"pp_L_0"	"DCs"	0	3.26632490827887	"epi_R_4_Atrn"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.473924304938272	0.409953299395641
"pp_L_0_Ptma"	"pp_L_0"	"DCs"	0	3.26632490827887	"epi_R_5_Atrn"	"epi_R_5"	"Goblet"	5	0.44294839121447	0.409953299395641
"pp_L_1_Ptma"	"pp_L_1"	"MPs"	1	2.79608025460829	"epi_R_2_Atrn"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.257493145068027	0.300410346199099
"pp_L_1_Ptma"	"pp_L_1"	"MPs"	1	2.79608025460829	"epi_R_4_Atrn"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.473924304938272	0.300410346199099
"pp_L_1_Ptma"	"pp_L_1"	"MPs"	1	2.79608025460829	"epi_R_5_Atrn"	"epi_R_5"	"Goblet"	5	0.44294839121447	0.300410346199099
