L_Gene	L_ident	L_MeanUMI	R_Gene	R_ident	R_MeanUMI	Str
pp_L_1_B2m	pp_L_1	4.1077104516129	epi_R_3_Tfrc	epi_R_3	0.264997139534884	1
pp_L_1_B2m	pp_L_1	4.1077104516129	epi_R_4_Tfrc	epi_R_4	0.296970285316456	1
pp_L_1_B2m	pp_L_1	4.1077104516129	epi_R_5_Tfrc	epi_R_5	0.327040815315315	1
pp_L_2_B2m	pp_L_2	3.70979044957473	epi_R_2_Tfrc	epi_R_2	0.289364061038961	0.815641118721738
pp_L_2_B2m	pp_L_2	3.70979044957473	epi_R_3_Tfrc	epi_R_3	0.264997139534884	0.815641118721738
pp_L_2_B2m	pp_L_2	3.70979044957473	epi_R_4_Tfrc	epi_R_4	0.296970285316456	0.815641118721738
pp_L_2_B2m	pp_L_2	3.70979044957473	epi_R_5_Tfrc	epi_R_5	0.327040815315315	0.815641118721738
pp_L_3_B2m	pp_L_3	3.78231658888889	epi_R_2_Tfrc	epi_R_2	0.289364061038961	0.847844308193118
pp_L_3_B2m	pp_L_3	3.78231658888889	epi_R_3_Tfrc	epi_R_3	0.264997139534884	0.847844308193118
pp_L_3_B2m	pp_L_3	3.78231658888889	epi_R_4_Tfrc	epi_R_4	0.296970285316456	0.847844308193118
pp_L_3_B2m	pp_L_3	3.78231658888889	epi_R_5_Tfrc	epi_R_5	0.327040815315315	0.847844308193118
pp_L_4_B2m	pp_L_4	4.02455347777778	epi_R_2_Tfrc	epi_R_2	0.289364061038961	0.959921588913307
pp_L_4_B2m	pp_L_4	4.02455347777778	epi_R_3_Tfrc	epi_R_3	0.264997139534884	0.959921588913307
pp_L_4_B2m	pp_L_4	4.02455347777778	epi_R_4_Tfrc	epi_R_4	0.296970285316456	0.959921588913307
pp_L_4_B2m	pp_L_4	4.02455347777778	epi_R_5_Tfrc	epi_R_5	0.327040815315315	0.959921588913307
pp_L_2_Bmp2	pp_L_2	0.402238670473876	epi_R_6_Acvr1b	epi_R_6	0.147493658167331	0.00958888245798753
pp_L_1_C1qa	pp_L_1	0.62564563156682	epi_R_1_Cr1l	epi_R_1	0.38604859027027	0.0231983548383954
pp_L_1_C1qa	pp_L_1	0.62564563156682	epi_R_2_Cr1l	epi_R_2	0.457437060474308	0.0231983548383954
pp_L_1_C1qa	pp_L_1	0.62564563156682	epi_R_3_Cr1l	epi_R_3	0.465593331976744	0.0231983548383954
pp_L_1_C1qa	pp_L_1	0.62564563156682	epi_R_4_Cr1l	epi_R_4	0.309305956455696	0.0231983548383954
pp_L_1_C1qa	pp_L_1	0.62564563156682	epi_R_5_Cr1l	epi_R_5	0.534650707207207	0.0231983548383954
pp_L_1_C1qa	pp_L_1	0.62564563156682	epi_R_6_Cr1l	epi_R_6	0.663310162948207	0.0231983548383954
pp_L_1_C1qb	pp_L_1	0.792931895852535	epi_R_3_Lrp1	epi_R_3	0.33958164244186	0.0372625120544736
