L_Gene	L_ident	L_MeanUMI	R_Gene	R_Ident	R_MeanUMI	Str
epi_L_1_Sema4g	epi_L_1	0.402736764144144	epi_R_6_Plxnb2	epi_R_6	0.376648228685259	0.00961264506052984
epi_L_1_Nts_Psap	epi_L_1	1.07511658324324	epi_R_6_Sort1	epi_R_6	1.01538848047809	0.0375373200191394
epi_L_1_Gpi1	epi_L_1	0.80399795009009	pp_R_0_Amfr	pp_R_0	0.219353147385621	0.0383098310636162
epi_L_1_Gnai2	epi_L_1	0.466054354774775	pp_R_0_Ccr5	pp_R_0	0.200251166884532	0.0128728140144843
epi_L_1_Mmp7	epi_L_1	0.40121393009009	pp_R_0_Cd44	pp_R_0	0.365130989978214	0.00954008755416606
epi_L_1_Apoc3	epi_L_1	0.554753905585586	pp_R_0_Cr1l	pp_R_0	0.239009919063181	0.0182390028348581
epi_L_1_Gip	epi_L_1	1.50600264666667	pp_R_0_Dpp4	pp_R_0	0.524820102069717	0.134416265180606
epi_L_1_B2m	epi_L_1	2.60976518162162	pp_R_0_Hfe	pp_R_0	0.437573387363834	0.4036483850611
epi_L_1_Apoc3	epi_L_1	0.554753905585586	pp_R_0_Ifitm2	pp_R_0	1.21048169466231	0.0182390028348581
epi_L_1_Apoc3	epi_L_1	0.554753905585586	pp_R_0_Itgax	pp_R_0	0.577904548910675	0.0182390028348581
epi_L_1_Lgals3bp	epi_L_1	0.780679364324324	pp_R_0_Itgb1	pp_R_0	0.361227753267974	0.0361198346563166
epi_L_1_Apob_Apoc3	epi_L_1	1.02365673657658	pp_R_0_Itgb2	pp_R_0	0.783166868409586	0.0312696523438819
epi_L_1_B2m	epi_L_1	2.60976518162162	pp_R_0_Klrd1	pp_R_0	0.484272115141612	0.4036483850611
epi_L_1_Gnai2	epi_L_1	0.466054354774775	pp_R_1_Ccr5	pp_R_1	0.276493676728111	0.0128728140144843
epi_L_1_Mmp7	epi_L_1	0.40121393009009	pp_R_1_Cd44	pp_R_1	1.02422866751152	0.00954008755416606
